# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,EC121,Mbhashe,30-39,female,15642,False
Eastern Cape,EC121,Mbhashe,40-49,male,10079,False
Eastern Cape,EC121,Mbhashe,40-49,female,12891,False
Eastern Cape,EC121,Mbhashe,50-59,male,6661,False
Eastern Cape,EC121,Mbhashe,50-59,female,11763,False
Eastern Cape,EC121,Mbhashe,60-69,male,7014,False
Eastern Cape,EC121,Mbhashe,60-69,female,11182,False
Eastern Cape,EC121,Mbhashe,70-79,male,3948,False
Eastern Cape,EC121,Mbhashe,70-79,female,7087,False
Eastern Cape,EC121,Mbhashe,80+,male,2916,False
Eastern Cape,EC121,Mbhashe,80+,female,5815,False
Eastern Cape,EC122,Mnquma,18-19,male,1647,True
Eastern Cape,EC122,Mnquma,18-19,female,1873,True
Eastern Cape,EC122,Mnquma,20-29,male,9257,True
Eastern Cape,EC122,Mnquma,20-29,female,10266,True
Eastern Cape,EC122,Mnquma,30-39,male,12570,False
Eastern Cape,EC122,Mnquma,30-39,female,12990,False
Eastern Cape,EC122,Mnquma,40-49,male,10501,False
Eastern Cape,EC122,Mnquma,40-49,female,11117,False
Eastern Cape,EC122,Mnquma,50-59,male,7468,False
Eastern Cape,EC122,Mnquma,50-59,female,11110,False
Eastern Cape,EC122,Mnquma,60-69,male,6785,False
Eastern Cape,EC122,Mnquma,60-69,female,11097,False
Eastern Cape,EC122,Mnquma,70-79,male,3897,False
Eastern Cape,EC122,Mnquma,70-79,female,6955,False
Eastern Cape,EC122,Mnquma,80+,male,1963,False
Eastern Cape,EC122,Mnquma,80+,female,4760,False
Eastern Cape,EC123,Great Kei,18-19,male,371,True
Eastern Cape,EC123,Great Kei,18-19,female,453,True
Eastern Cape,EC123,Great Kei,20-29,male,1634,True
Eastern Cape,EC123,Great Kei,20-29,female,1591,True
Eastern Cape,EC123,Great Kei,30-39,male,1935,False
Eastern Cape,EC123,Great Kei,30-39,female,2062,False
Eastern Cape,EC123,Great Kei,40-49,male,2145,False
Eastern Cape,EC123,Great Kei,40-49,female,2065,False
Eastern Cape,EC123,Great Kei,50-59,male,1508,False
Eastern Cape,EC123,Great Kei,50-59,female,1903,False
Eastern Cape,EC123,Great Kei,60-69,male,1227,False
Eastern Cape,EC123,Great Kei,60-69,female,1718,False
Eastern Cape,EC123,Great Kei,70-79,male,624,False
Eastern Cape,EC123,Great Kei,70-79,female,785,False
Eastern Cape,EC123,Great Kei,80+,male,248,False
Eastern Cape,EC123,Great Kei,80+,female,537,False
Eastern Cape,EC124,Amahlathi,18-19,male,564,True
Eastern Cape,EC124,Amahlathi,18-19,female,596,True
Eastern Cape,EC124,Amahlathi,20-29,male,3443,True
Eastern Cape,EC124,Amahlathi,20-29,female,3672,True
Eastern Cape,EC124,Amahlathi,30-39,male,5117,False
Eastern Cape,EC124,Amahlathi,30-39,female,5073,False
Eastern Cape,EC124,Amahlathi,40-49,male,4930,False
Eastern Cape,EC124,Amahlathi,40-49,female,5067,False
Eastern Cape,EC124,Amahlathi,50-59,male,3922,False
Eastern Cape,EC124,Amahlathi,50-59,female,4672,False
Eastern Cape,EC124,Amahlathi,60-69,male,3183,False
Eastern Cape,EC124,Amahlathi,60-69,female,4611,False
Eastern Cape,EC124,Amahlathi,70-79,male,1438,False
Eastern Cape,EC124,Amahlathi,70-79,female,2298,False
Eastern Cape,EC124,Amahlathi,80+,male,494,False
Eastern Cape,EC124,Amahlathi,80+,female,1197,False
Eastern Cape,EC126,Ngqushwa,18-19,male,569,True
Eastern Cape,EC126,Ngqushwa,18-19,female,549,True
Eastern Cape,EC126,Ngqushwa,20-29,male,2800,True
Eastern Cape,EC126,Ngqushwa,20-29,female,2537,True
Eastern Cape,EC126,Ngqushwa,30-39,male,3633,False
Eastern Cape,EC126,Ngqushwa,30-39,female,3541,False
Eastern Cape,EC126,Ngqushwa,40-49,male,3530,False
Eastern Cape,EC126,Ngqushwa,40-49,female,3360,False
Eastern Cape,EC126,Ngqushwa,50-59,male,2739,False
