election_year,voting_district,municipality_code,municipality_source,province,registered_voters,municipality_code_2021,municipality_name_2021,province_2021,boundary_method
2000,54210035,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1488,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210046,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1914,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210057,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1444,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210068,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,695,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210079,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2565,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210080,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1650,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210091,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1605,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210103,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,3191,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210114,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1946,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210125,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,379,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210169,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,330,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54210170,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,485,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220014,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,3238,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220025,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2453,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220036,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1120,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220047,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1254,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220058,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1210,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220069,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2612,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220070,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,953,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220081,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,978,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220092,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2150,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220104,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1287,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220115,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1605,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220126,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2002,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220137,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,872,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220148,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1984,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220159,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1311,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220160,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,865,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220171,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,254,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220182,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,262,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220205,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,244,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220216,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,478,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220227,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,129,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54220238,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,300,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54230015,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,2966,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230026,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3755,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230037,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,2040,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230048,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,1538,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230059,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,1939,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230060,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3049,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230071,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,2239,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230082,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3256,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230093,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,2108,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230105,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,3074,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230116,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,2018,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54230127,MP302,MP302 - Msukaligwa [Ermelo],Mpumalanga,376,MP302,MP302 - Msukaligwa,Mpumalanga,vd_code_match
2000,54240016,MP306,MP306 - Dipaleseng [Balfour],Mpumalanga,2976,MP306,MP306 - Dipaleseng,Mpumalanga,vd_code_match
2000,54250017,MP306,MP306 - Dipaleseng [Balfour],Mpumalanga,867,MP306,MP306 - Dipaleseng,Mpumalanga,vd_code_match
2000,54260018,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2928,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260029,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3451,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260041,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,4355,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260052,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2258,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260063,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,1444,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260074,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2956,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260085,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3012,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260096,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2315,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260108,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,794,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260119,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,2266,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260120,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3016,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260131,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,4352,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260142,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3906,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260153,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3150,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260175,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,1856,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260186,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,4014,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
2000,54260197,MP307,MP307 - Highveld East [Highveld Ridge],Mpumalanga,3038,MP307,MP307 - Govan Mbeki,Mpumalanga,vd_code_match
