province_2021,municipality_code_2021,municipality_name_2021,election_year,ballot_type,registered_voters,votes_cast,valid_votes,spoilt_votes,voting_districts,share_vd_code_match,turnout_pct,spoilt_pct
Mpumalanga,MP306,MP306 - Dipaleseng,2021,DC40,20948,9552,9260,292,30,1.0,45.59862516708039,3.056951423785595
Mpumalanga,MP306,MP306 - Dipaleseng,2021,PR,20948,9591,9330,261,30,1.0,45.78480045827764,2.7213012198936504
Mpumalanga,MP306,MP306 - Dipaleseng,2021,WARD,20948,9627,9391,236,30,1.0,45.956654573228946,2.4514386620961877
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,DC40,111470,46997,45320,1677,58,0.9482758620689655,42.16111958374451,3.5683128710343213
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,PR,111470,46908,45673,1235,58,0.9482758620689655,42.081277473759755,2.6328131661976637
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,WARD,111470,46959,45472,1487,58,0.9482758620689655,42.127029694088094,3.1665921335633214
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,DC40,120834,49649,48255,1394,78,0.9743589743589743,41.08860089047784,2.807710125078048
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,PR,120834,49846,48685,1161,78,0.9743589743589743,41.251634473740836,2.3291738554748624
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,WARD,120834,49870,48717,1153,78,0.9743589743589743,41.271496433123126,2.3120112291959094
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,DC40,131576,71577,70544,1033,88,0.9772727272727273,54.39973855414361,1.443201028263269
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,PR,131576,71511,70461,1050,88,0.9772727272727273,54.349577430534445,1.4683055753660277
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,WARD,131576,71903,70733,1170,88,0.9772727272727273,54.64750410409193,1.6271921894774906
Mpumalanga,MP307,MP307 - Govan Mbeki,2016,DC40,145295,76589,75237,1352,92,0.9891304347826086,52.71275680512062,1.7652665526381073
Mpumalanga,MP307,MP307 - Govan Mbeki,2016,PR,145295,76958,75729,1229,92,0.9891304347826086,52.96672287415259,1.5969749733620937
Mpumalanga,MP307,MP307 - Govan Mbeki,2016,WARD,145295,77570,76391,1179,92,0.9891304347826086,53.38793489108366,1.5199174938764985
Mpumalanga,MP307,MP307 - Govan Mbeki,2021,DC40,141058,56936,55922,1014,100,1.0,40.36353840264288,1.7809470282422368
Mpumalanga,MP307,MP307 - Govan Mbeki,2021,PR,141058,57483,56547,936,100,1.0,40.751322151171856,1.62830749960858
Mpumalanga,MP307,MP307 - Govan Mbeki,2021,WARD,141058,56298,55288,1010,100,1.0,39.911242184066126,1.7940246545170344
Mpumalanga,MP311,MP311 - Victor Khanye,2000,DC40,22353,10282,9494,788,17,1.0,45.99830000447367,7.663878622836024
Mpumalanga,MP311,MP311 - Victor Khanye,2000,PR,22353,10286,9541,745,17,1.0,46.01619469422449,7.242854365156523
Mpumalanga,MP311,MP311 - Victor Khanye,2000,WARD,22353,10291,9970,321,17,1.0,46.03856305641301,3.119230395491206
Mpumalanga,MP311,MP311 - Victor Khanye,2006,DC40,25236,10803,10400,403,21,1.0,42.80789348549691,3.730445246690734
Mpumalanga,MP311,MP311 - Victor Khanye,2006,PR,25236,10801,10451,350,21,1.0,42.799968299255035,3.240440699935191
Mpumalanga,MP311,MP311 - Victor Khanye,2006,WARD,25236,10855,10532,323,21,1.0,43.013948327785705,2.9755872869645326
Mpumalanga,MP311,MP311 - Victor Khanye,2011,DC40,28664,16248,16004,244,25,1.0,56.684342729556235,1.501723289020187
Mpumalanga,MP311,MP311 - Victor Khanye,2011,PR,28664,16245,16017,228,25,1.0,56.673876639687414,1.4035087719298245
Mpumalanga,MP311,MP311 - Victor Khanye,2011,WARD,28664,16255,15964,291,25,1.0,56.70876360591683,1.790218394340203
Mpumalanga,MP311,MP311 - Victor Khanye,2016,DC40,33451,18406,18002,404,28,1.0,55.02376610564706,2.194936433771596
Mpumalanga,MP311,MP311 - Victor Khanye,2016,PR,33451,18421,18022,399,28,1.0,55.06860781441512,2.1660061885891104
Mpumalanga,MP311,MP311 - Victor Khanye,2016,WARD,33451,18523,18124,399,28,1.0,55.373531434037844,2.1540787129514656
Mpumalanga,MP311,MP311 - Victor Khanye,2021,DC40,34548,18178,17832,346,28,1.0,52.6166492995253,1.9033997139399275
Mpumalanga,MP311,MP311 - Victor Khanye,2021,PR,34548,18003,17699,304,28,1.0,52.110107676276485,1.68860745431317
