voting_district,registered,valid,spoilt,npe_vd_turnout_pct,year
54540086,1493,1379,18,93.57,2004
54540097,3508,2326,82,68.643,2004
54540109,1055,881,1,83.602,2004
54540110,1343,1187,23,90.097,2004
54540121,3146,1726,20,55.499,2004
54540132,2941,2674,52,92.69,2004
54540143,1852,1193,11,65.011,2004
54540154,2606,1642,29,64.121,2004
54540165,2096,1651,21,79.771,2004
54540176,586,363,18,65.017,2004
54540187,1236,939,28,78.236,2004
54540198,1869,1682,32,91.707,2004
54540200,3323,2631,26,79.958,2004
54540211,1723,1422,33,84.446,2004
54540222,1764,1490,5,84.751,2004
54540233,2299,2166,51,96.433,2004
54540299,2822,1971,50,71.616,2004
54540301,2520,1682,36,68.175,2004
54540312,674,607,2,90.356,2004
54540334,1746,1268,33,74.513,2004
54540356,1054,999,19,96.584,2004
54540367,493,498,4,101.826,2004
54540378,92,85,4,96.739,2004
54540389,2275,1442,28,64.615,2004
54540390,1893,1764,27,94.612,2004
54540402,1221,1290,9,106.388,2004
54550010,1842,843,29,47.34,2004
54550021,814,862,15,107.74,2004
54570012,2216,1564,37,72.247,2004
54570034,1447,1031,70,76.088,2004
54570045,1203,842,10,70.823,2004
54570056,574,405,9,72.125,2004
54570067,1850,1275,18,69.892,2004
54570078,1399,1038,10,74.911,2004
54570089,1025,839,18,83.61,2004
54570090,1013,747,4,74.136,2004
54570102,775,595,12,78.323,2004
54570113,1105,721,6,65.792,2004
54570124,1169,814,16,71.001,2004
54570135,1779,1347,10,76.279,2004
54570146,1277,744,5,58.653,2004
54570168,535,461,1,86.355,2004
54570179,2053,1408,38,70.434,2004
54570180,884,838,15,96.493,2004
54570191,1175,846,18,73.532,2004
54570203,618,511,9,84.142,2004
54570214,848,645,1,76.179,2004
54570225,1204,795,9,66.777,2004
54570236,1093,959,18,89.387,2004
54570247,1792,1200,31,68.694,2004
54570258,1278,873,11,69.171,2004
54570269,929,574,26,64.586,2004
54570270,850,670,4,79.294,2004
54570281,960,459,4,48.229,2004
54570292,762,425,1,55.906,2004
54570304,626,176,2,28.435,2004
54570315,738,402,6,55.285,2004
54570326,1628,1258,21,78.563,2004
54580013,1246,881,8,71.348,2004
54580035,2289,1895,11,83.268,2004
54580046,1820,1265,31,71.209,2004
54580057,1568,1148,25,74.809,2004
