voting_district,municipality_code_2021,registered_voters,registered_2026_est,turnout_median,turnout_p10,turnout_p90,p_below_25_raw,p_below_25,non_voters_expected
54891085,MP324,320.0,375.0406,52.2091,38.0794,69.1335,0.0144,0.0,176.8496
54891096,MP324,118.0,138.2962,48.935,34.441,65.9022,0.0259,0.0014,69.8005
54900019,MP321,531.0,600.0647,30.9117,16.4037,47.9393,0.3005,0.3889,409.6655
54900020,MP321,1959.0,2213.798,41.4071,31.9543,51.0884,0.0148,0.0,1293.8136
54900031,MP321,1341.0,1515.4176,45.0929,35.6676,55.0815,0.0059,0.0,828.2587
54900042,MP321,1587.0,1793.4137,41.8496,32.4444,51.6109,0.0116,0.0,1040.5713
54900053,MP321,870.0,983.1569,45.7147,35.694,56.4135,0.0068,0.0,531.2852
54900064,MP321,1170.0,1322.1765,41.838,31.8738,52.3996,0.0208,0.0014,765.9487
54900075,MP321,254.0,287.0366,27.0935,13.1307,44.3487,0.4255,0.8667,206.7018
54900086,MP321,431.0,487.0582,24.1454,9.3134,40.9973,0.5305,0.8667,366.1762
54900097,MP321,1305.0,1474.7353,39.7385,30.0232,49.2801,0.0265,0.0014,888.2609
54900109,MP321,264.0,298.3373,30.6984,16.2799,47.8558,0.3104,0.3889,204.5111
54900110,MP321,327.0,369.5314,25.4839,11.2963,42.1499,0.484,0.8667,272.2322
54900121,MP321,272.0,307.3778,23.4383,8.6883,39.8929,0.5582,0.8667,232.9039
54900132,MP321,292.0,329.9791,27.5057,13.217,44.5874,0.4091,0.6364,236.1384
54900154,MP321,123.0,138.998,25.6065,11.0314,42.0597,0.4785,0.8667,102.2677
54900176,MP321,369.0,416.9941,24.4604,10.1208,41.8211,0.5177,0.8667,310.9062
54900187,MP321,392.0,442.9856,48.4785,33.6882,65.0071,0.025,0.0014,226.0084
54900198,MP321,723.0,817.0372,45.125,35.068,56.332,0.0102,0.0,445.7608
54900200,MP321,562.0,635.0967,50.4488,36.2612,67.7943,0.0185,0.0,310.3022
54910010,MP321,823.0,930.0438,28.5464,18.228,38.9764,0.3252,0.3889,663.7023
54910054,MP326,773.0,881.3336,44.7198,34.4664,55.3678,0.0111,0.0,485.2191
54910065,MP326,1665.0,1898.3447,33.4634,23.8962,43.3292,0.1282,0.057,1260.726
54910076,MP326,1854.0,2113.8325,34.0839,24.5774,43.8072,0.1126,0.057,1390.3157
54910087,MP326,1599.0,1823.095,36.2141,26.885,46.0306,0.0625,0.0033,1159.3468
54910100,MP326,1619.0,1845.898,37.2914,27.8664,47.3127,0.0481,0.0014,1154.4173
54910111,MP326,1315.0,1499.2933,33.4459,24.1528,43.3878,0.122,0.057,993.3412
54910144,MP326,760.0,866.5117,37.4531,27.1977,48.0825,0.0621,0.0033,540.8735
54910155,MP326,1276.0,1454.8276,38.4355,27.9647,49.0907,0.0505,0.0014,893.441
54910177,MP326,1303.0,1485.6115,37.1738,27.8369,47.0684,0.0482,0.0014,930.8362
54910188,MP326,975.0,1111.6433,36.3963,26.2337,47.131,0.0747,0.0033,704.6938
54910212,MP326,805.0,917.8183,38.7697,28.5897,49.5977,0.0441,0.0014,560.3961
54910223,MP326,1115.0,1271.2639,38.3689,28.0333,49.1612,0.0523,0.0014,781.1891
54910234,MP326,1524.0,1737.584,34.9498,25.4536,44.9592,0.0877,0.0033,1126.9258
54910245,MP326,840.0,957.7235,36.045,25.8667,46.7305,0.082,0.0033,610.3717
54910256,MP326,825.0,940.6213,43.1607,32.7635,53.7496,0.0144,0.0,533.5731
54910267,MP326,1244.0,1418.3429,34.1229,23.9486,44.6602,0.1242,0.057,932.4244
54910278,MP326,1245.0,1419.483,38.9736,28.7518,49.6323,0.0429,0.0014,864.4086
54910290,MP326,816.0,930.3599,37.568,27.2044,48.2983,0.0592,0.0014,579.1182
54910313,MP326,1168.0,1331.6917,41.1631,30.9337,51.9267,0.0251,0.0014,781.1145
54910324,MP326,801.0,913.2577,36.5259,26.1831,47.3609,0.077,0.0033,578.3173
54910335,MP326,1497.0,1706.8,38.5003,28.8617,48.3625,0.0349,0.0014,1047.7001
54910346,MP326,1185.0,1351.0742,34.2504,23.9383,45.0041,0.1242,0.057,885.5416
54910357,MP326,1920.0,2189.0822,33.9325,24.4727,43.7999,0.1128,0.057,1443.0301
54910368,MP326,1327.0,1512.9751,44.9232,35.3519,54.6936,0.0043,0.0,831.8049
54910379,MP326,1434.0,1634.9708,38.7474,28.9623,48.4337,0.0362,0.0014,999.4637
54910380,MP326,1426.0,1625.8496,39.0132,29.4121,48.8505,0.0347,0.0014,988.8868
54910391,MP326,565.0,644.183,42.5384,28.014,59.3152,0.0637,0.0033,366.4213
54910403,MP326,1026.0,1169.7908,44.0961,33.6609,54.8685,0.013,0.0,652.8031
54910414,MP326,1145.0,1305.4683,39.5819,29.5814,50.2362,0.0361,0.0014,786.0736
54910425,MP326,1168.0,1331.6917,43.8328,33.7498,54.4471,0.012,0.0,744.7452
54910436,MP326,1180.0,1345.3734,41.7679,31.5016,52.2379,0.0241,0.0014,781.8432
54910447,MP326,885.0,1009.0301,39.5481,29.3331,50.0597,0.0392,0.0014,609.484
54910458,MP326,970.0,1105.9426,38.9143,28.6867,49.617,0.0411,0.0014,673.6982
54910470,MP326,1242.0,1416.0626,34.1364,24.0962,44.9616,0.1178,0.057,929.233
54910481,MP326,1433.0,1633.8306,39.3105,29.5475,48.8753,0.0295,0.0014,991.0165
54910504,MP326,866.0,987.3673,38.6384,28.4924,49.1874,0.0442,0.0014,604.3159
