voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54330184,MP305,MP305 - Lekwa,1314.0,57.418
54330195,MP305,MP305 - Lekwa,482.0,53.495
54330207,MP305,MP305 - Lekwa,770.0,52.183
54330218,MP305,MP305 - Lekwa,818.0,57.971
54330229,MP305,MP305 - Lekwa,1072.0,50.06
54330230,MP305,MP305 - Lekwa,1716.0,50.198
54330241,MP305,MP305 - Lekwa,679.0,62.92
54340017,MP304,MP304 - Dr Pixley Ka Isaka Seme,1566.0,51.889
54340028,MP304,MP304 - Dr Pixley Ka Isaka Seme,1487.0,43.406
54340039,MP304,MP304 - Dr Pixley Ka Isaka Seme,887.0,53.589
54340040,MP304,MP304 - Dr Pixley Ka Isaka Seme,1613.0,50.565
54340051,MP304,MP304 - Dr Pixley Ka Isaka Seme,1846.0,51.698
54340062,MP304,MP304 - Dr Pixley Ka Isaka Seme,723.0,53.098
54340073,MP304,MP304 - Dr Pixley Ka Isaka Seme,2277.0,50.719
54340084,MP304,MP304 - Dr Pixley Ka Isaka Seme,2571.0,47.182
54340095,MP304,MP304 - Dr Pixley Ka Isaka Seme,636.0,49.932
54350018,MP304,MP304 - Dr Pixley Ka Isaka Seme,1119.0,52.906
54350029,MP304,MP304 - Dr Pixley Ka Isaka Seme,1308.0,51.129
54350030,MP304,MP304 - Dr Pixley Ka Isaka Seme,966.0,52.366
54360019,MP304,MP304 - Dr Pixley Ka Isaka Seme,1500.0,53.824
54360020,MP304,MP304 - Dr Pixley Ka Isaka Seme,309.0,51.168
54360031,MP304,MP304 - Dr Pixley Ka Isaka Seme,394.0,42.486
54360042,MP304,MP304 - Dr Pixley Ka Isaka Seme,268.0,50.013
54360053,MP304,MP304 - Dr Pixley Ka Isaka Seme,551.0,49.772
54360064,MP304,MP304 - Dr Pixley Ka Isaka Seme,1403.0,50.181
54360075,MP304,MP304 - Dr Pixley Ka Isaka Seme,653.0,46.917
54360086,MP304,MP304 - Dr Pixley Ka Isaka Seme,1103.0,49.711
54360097,MP304,MP304 - Dr Pixley Ka Isaka Seme,1630.0,51.805
54360109,MP304,MP304 - Dr Pixley Ka Isaka Seme,532.0,50.209
54360110,MP304,MP304 - Dr Pixley Ka Isaka Seme,1097.0,52.906
54360121,MP304,MP304 - Dr Pixley Ka Isaka Seme,104.0,53.432
54370021,MP306,MP306 - Dipaleseng,51.0,49.066
54370032,MP306,MP306 - Dipaleseng,920.0,46.092
54370054,MP306,MP306 - Dipaleseng,205.0,46.197
54370065,MP306,MP306 - Dipaleseng,88.0,38.159
54370076,MP306,MP306 - Dipaleseng,101.0,39.467
54370087,MP306,MP306 - Dipaleseng,51.0,47.47
54370098,MP306,MP306 - Dipaleseng,108.0,44.986
54380011,MP307,MP307 - Govan Mbeki,356.0,60.642
54380022,MP302,MP302 - Msukaligwa,286.0,37.628
54380033,MP305,MP305 - Lekwa,234.0,50.089
54380044,MP307,MP307 - Govan Mbeki,274.0,56.669
54380055,MP307,MP307 - Govan Mbeki,282.0,45.456
54380066,MP307,MP307 - Govan Mbeki,215.0,33.669
54380077,MP307,MP307 - Govan Mbeki,221.0,46.354
54390012,MP301,MP301 - Chief Albert Luthuli,129.0,34.721
54390023,MP301,MP301 - Chief Albert Luthuli,193.0,44.491
