province_turnout,ballots,districts_below_25
49.248,1068543.001,15
47.188,1023827.925,24
41.283,895719.613,66
36.66,795407.951,150
45.116,978888.939,36
29.534,640804.999,473
36.142,784178.44,151
39.349,853764.97,92
35.972,780474.174,163
39.521,857485.569,82
37.86,821449.524,126
38.711,839902.956,102
32.911,714074.854,316
39.414,855172.611,74
37.447,812480.747,114
30.107,653240.099,431
47.131,1022603.179,27
41.444,899211.299,67
39.764,862765.863,99
31.433,682010.94,364
40.077,869542.895,85
37.352,810428.12,120
40.08,869606.989,78
40.645,881882.584,73
42.19,915396.001,48
36.638,794928.172,154
37.593,815646.916,112
43.609,946187.366,40
37.887,822034.049,105
37.137,805761.612,130
39.712,861620.942,82
41.178,893447.116,70
33.906,735664.518,254
41.328,896695.646,61
34.713,753157.374,191
44.558,966779.074,39
44.361,962505.034,46
44.826,972578.991,34
40.825,885776.144,56
40.363,875762.884,75
35.051,760503.837,175
39.333,853406.454,97
53.136,1152882.463,14
40.913,887693.487,68
33.142,719085.023,250
40.013,868166.712,73
38.876,843503.296,78
39.832,864231.205,88
38.673,839097.883,75
24.52,532012.483,910
26.458,574064.062,735
41.406,898376.538,58
41.908,909269.367,60
44.755,971053.951,30
31.765,689214.001,341
40.292,874211.073,64
42.98,932531.49,35
37.126,805528.691,145
38.151,827772.25,114
37.681,817560.8,139
38.32,831427.44,109
40.414,876861.556,68
37.719,818381.998,112
38.102,826690.154,111
29.616,642588.233,489
40.193,872068.739,87
37.047,803811.715,112
43.343,940421.219,47
44.804,972107.066,46
43.642,946894.153,31
36.343,788534.257,156
41.719,905187.62,48
48.337,1048760.057,17
37.281,808888.192,128
43.913,952778.547,52
40.472,878119.499,63
38.113,826947.775,112
34.075,739326.653,206
46.81,1015634.543,31
37.815,820470.584,116
39.383,854492.39,101
44.474,964959.985,41
39.528,857631.028,88
35.718,774967.403,190
46.078,999743.983,28
36.916,800968.298,151
47.915,1039607.156,13
36.236,786214.758,173
29.826,647140.677,470
41.31,896313.34,57
53.017,1150319.047,8
40.492,878544.235,72
38.768,841148.583,82
43.184,936962.741,49
38.394,833038.257,107
40.671,882436.692,61
45.203,980762.55,24
50.337,1092159.385,10
40.282,873996.011,77
46.632,1011783.886,34
39.02,846621.477,76
46.071,999594.737,22
41.887,908829.997,50
42.652,925428.564,58
43.088,934875.565,43
36.8,798453.502,142
36.642,795018.483,146
28.631,621208.66,535
33.939,736381.105,216
44.714,970162.999,38
45.069,977863.823,27
37.473,813047.263,121
34.293,744063.086,234
36.207,785572.736,158
43.799,950310.663,39
47.756,1036164.154,21
38.878,843530.558,83
43.013,933248.524,45
44.647,968710.837,35
44.056,955882.891,41
37.667,817270.045,115
46.259,1003687.277,31
45.695,991434.177,29
48.235,1046553.82,20
38.168,828138.083,94
40.172,871614.073,72
36.383,789404.463,161
40.811,885485.852,82
42.817,928990.536,57
47.75,1036036.371,17
58.314,1265243.727,3
33.805,733474.086,262
37.373,810881.075,108
39.504,857116.035,91
35.307,766048.07,172
39.477,856524.598,69
36.225,785982.174,158
46.485,1008583.5,21
41.052,890695.772,56
34.535,749315.142,206
43.896,952415.425,41
36.438,790594.579,140
46.086,999924.012,16
38.865,843263.288,105
47.279,1025813.803,22
52.107,1130567.215,8
39.549,858092.901,80
38.392,832986.273,116
40.282,874004.666,66
38.051,825583.246,100
36.597,794054.56,135
45.354,984037.639,33
41.24,894790.708,61
41.121,892193.385,62
42.297,917717.387,45
39.287,852414.455,94
27.785,602852.557,603
41.064,890969.012,52
36.017,781462.531,156
43.951,953596.007,44
42.29,917557.167,41
36.461,791095.255,119
27.083,587611.375,674
33.352,723635.848,268
39.052,847314.997,106
47.092,1021748.164,21
37.587,815532.492,129
48.342,1048869.565,16
46.746,1014255.623,27
47.661,1034108.925,27
29.104,631464.186,500
32.815,711987.108,309
47.507,1030756.882,18
36.279,787137.69,143
44.883,973832.945,34
39.507,857193.942,77
37.995,824386.929,93
41.638,903427.182,46
44.25,960089.562,36
37.853,821289.619,105
38.258,830089.445,86
52.928,1148374.937,2
50.203,1089252.706,11
44.427,963928.389,35
40.723,883563.525,75
41.155,892938.968,54
42.154,914604.602,41
28.713,622985.356,535
33.16,719469.136,272
44.104,956928.379,33
42.472,921509.906,43
35.5,770251.147,164
36.591,793916.091,139
32.249,699707.225,336
41.88,908670.152,57
35.845,777728.069,156
39.139,849204.819,81
44.772,971416.037,30
40.562,880069.87,69
34.043,738626.714,216
37.745,818949.007,104
40.96,888704.423,63
47.538,1031442.707,31
37.217,807494.821,130
42.127,914035.474,43
45.404,985133.381,25
31.577,685124.056,331
37.615,816127.83,116
42.337,918589.539,47
44.37,962699.275,41
39.89,865500.059,84
39.366,854113.828,91
23.971,520103.279,928
32.625,707859.992,290
40.537,879534.694,85
29.621,642691.97,501
39.589,858968.717,89
32.873,713235.341,261
37.203,807197.587,129
34.35,745288.068,229
41.547,901450.832,63
44.624,968198.306,36
44.584,967342.284,27
39.992,867703.869,60
37.994,824352.683,106
33.215,720658.233,259
38.842,842748.113,94
43.861,951654.992,48
41.002,889618.262,63
39.331,853357.774,81
43.452,942776.792,49
30.718,666493.059,413
35.373,767487.412,172
37.921,822763.284,127
44.554,966679.298,35
41.97,910613.821,58
45.427,985624.114,23
41.599,902564.186,46
27.901,605375.314,648
33.093,718017.645,276
35.509,770445.008,170
41.232,894601.016,60
34.491,748342.843,209
38.565,836738.412,96
38.44,834026.437,100
35.239,764584.817,161
37.532,814325.682,133
