municipality_code_2021,official_registered,official_mec7,official_turnout_votes,official_turnout_pct,registered,turnout_votes,turnout_pct,election_year,registered_diff,turnout_votes_diff,turnout_pct_with_mec7,pct_diff_pp
MP302,71337,175,41096,57.47,71337,41096,57.608253781347685,2016,0,0,57.46727821904016,-0.002721780959838327
MP303,71990,273,41286,57.13,71990,41286,57.34963189331852,2016,0,0,57.13297261392414,0.0029726139241361693
MP304,38501,64,22846,59.24,38501,22846,59.33871847484481,2016,0,0,59.240243744327756,0.00024374432775431387
MP305,53249,250,30614,57.22,53249,30614,57.49215947717328,2016,0,0,57.223499504663636,0.003499504663636799
MP306,21413,11,12858,60.02,21413,12858,60.047634614486526,2016,0,0,60.01680358476475,-0.003196415235251493
MP307,145295,393,78296,53.74,145295,78296,53.88760796999208,2016,0,0,53.74224369886333,0.002243698863324539
MP311,33451,198,18539,55.1,33451,18539,55.4213625900571,2016,0,0,55.09524800142649,-0.004751998573510718
MP312,189524,1646,98184,51.36,189524,98184,51.80557607479791,2016,0,0,51.35952293769943,-0.00047706230056832055
MP313,110703,271,58682,52.88,110703,58682,53.00850022131288,2016,0,0,52.879052751094854,-0.0009472489051489674
MP314,26651,199,15108,56.27,26651,15108,56.68830437882256,2016,0,0,56.26815642458101,-0.001843575418995158
MP315,154722,457,85455,55.07,154722,85455,55.231318106022414,2016,0,0,55.068662641207894,-0.0013373587921066132
MP316,130145,962,71620,54.63,130145,71620,55.030927042913675,2016,0,0,54.62713661360568,-0.002863386394324152
MP321,51549,6,27759,53.84,51549,27759,53.84973520339871,2016,0,0,53.843468140820484,0.0034681408204804143
MP324,167009,611,102077,60.9,167009,102077,61.120658168122674,2016,0,0,60.89786421668059,-0.0021357833194102227
MP325,244180,1288,131551,53.59,244180,131551,53.8746007043984,2016,0,0,53.591914220998255,0.001914220998251892
MP326,316905,588,191535,60.33,316905,191535,60.439248355185306,2016,0,0,60.327314302992505,-0.002685697007493104
MP301,92803,199,40605,43.66,92803,40605,43.75397347068522,2021,0,0,43.66035139029268,0.00035139029268549393
MP302,69662,195,28527,40.84,69662,28527,40.950589991674086,2021,0,0,40.8362798287931,-0.003720171206900602
MP303,70522,622,31022,43.6,70522,31022,43.98910978134483,2021,0,0,43.604520409310695,0.004520409310693196
MP304,37767,107,17084,45.11,37767,17084,45.235258294278076,2021,0,0,45.10746158314411,-0.002538416855891512
MP305,51116,152,23569,45.97,51116,23569,46.108850457782296,2021,0,0,45.97214636810486,0.00214636810486013
MP306,20948,8,9638,45.99,20948,9638,46.009165552797405,2021,0,0,45.99160145065852,0.0016014506585193544
MP307,141058,968,57784,40.69,141058,57784,40.96470955209914,2021,0,0,40.685508287215015,-0.0044917127849828375
MP311,34548,39,18020,52.1,34548,18020,52.159314576820655,2021,0,0,52.100500187931885,0.0005001879318839997
MP312,186763,605,73992,39.49,186763,73992,39.61812564587204,2021,0,0,39.49020110157551,0.00020110157550590202
MP313,108499,242,48311,44.43,108499,48311,44.52667766523194,2021,0,0,44.42758481161659,-0.0024151883834093724
MP314,26486,39,12656,47.71,26486,12656,47.783734803292305,2021,0,0,47.71347785108388,0.003477851083879102
MP315,151479,295,61898,40.78,151479,61898,40.862429775744495,2021,0,0,40.78300631201655,0.003006312016552215
MP316,123373,561,53198,42.92,123373,53198,43.119645303267326,2021,0,0,42.92445979311569,0.004459793115685784
MP321,50959,86,22209,43.51,50959,22209,43.58209541003552,2021,0,0,43.50866882162798,-0.0013311783720197923
MP324,172783,558,78409,45.23,172783,78409,45.38004317554389,2021,0,0,45.233960805579756,0.003960805579758642
MP325,246357,1225,106536,43.03,245338,106530,43.42172839103604,2021,-1019,-6,43.20599603346812,0.17599603346811676
MP326,318116,1013,131287,41.14,318116,131287,41.27016559996982,2021,0,0,41.13916315972538,-0.0008368402746228298
